"id";"name";"city_name";"geometry_name";"office";"phone";"email";"website";"lon";"lat";"category";"subcategory"
"1";"Тачки, СТО";"Уссурийск";"Ленинградская, 91";;"+79247370888";NULL;NULL;"131.932091";"43.814826";"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"2";"АвтоМама, ООО, многопрофильная компания";"Уссурийск";;;"88002001974";NULL;"http://automama.su";;;"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"3";"Единая Диспетчерская Грузоперевозок, транспортно-экспедиторская компания";"Уссурийск";;;"+74234300107";NULL;"http://xn--1-ftbcd.xn--p1ai";;;"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"4";"Успех, транспортная компания";"Уссурийск";"Краснознамённая, 238";"3 офис";"+74234372376";NULL;NULL;"131.952014";"43.815952";"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"5";"ПримТехЭксперт, многопрофильная компания";"Уссурийск";"Тимирязева, 2";"206 офис; 2 этаж";"+74234244055";NULL;NULL;"131.943769";"43.789283";"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"6";"Арм сервис, служба эвакуации автомобилей";"Уссурийск";"Комарова, 30";;"+79244327772";NULL;NULL;"131.941915";"43.811783";"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"7";"СТО, ИП Полещук И.Н.";"Михайловка";"Вокзальная, 58а";;"+74234625791";NULL;NULL;"132.023685";"43.93548";"Аварийные / справочные / экстренные службы";"Эвакуация автомобилей"
"8";"ИнтерАвто, служба аварийных комиссаров";"Уссурийск";"Тимирязева, 8";"201 офис; 2 этаж";"+74234370405";NULL;NULL;"131.94681";"43.789393";"Аварийные / справочные / экстренные службы";"Службы аварийных комиссаров"
"9";"Олимп, ООО, компания";"Уссурийск";"Краснознамённая, 57";"29 офис; 2 этаж";"+74234378779";NULL;NULL;"131.959856";"43.788821";"Аварийные / справочные / экстренные службы";"Службы аварийных комиссаров"
"10";"Аварком экспресс, независимая служба аварийных комиссаров";"Уссурийск";"Краснознамённая, 224Б";"104 офис; 1 этаж";"+74234242122";NULL;NULL;"131.952934";"43.814507";"Аварийные / справочные / экстренные службы";"Службы аварийных комиссаров"
"11";"АВТОГИД, компания";"Уссурийск";"Ленина, 122";"1 этаж";"+79140667777";NULL;NULL;"131.955689";"43.799878";"Аварийные / справочные / экстренные службы";"Службы аварийных комиссаров"
"12";"Служба Помощи Автомобилистам, ООО";"Уссурийск";"Ленина, 41";;"+74234211211";NULL;NULL;"131.955504";"43.788552";"Аварийные / справочные / экстренные службы";"Службы аварийных комиссаров"
"13";"Управление по делам ГО и ЧС г. Уссурийска";"Уссурийск";"Амурская, 69";;"+74234321208";NULL;NULL;"131.952483";"43.805996";"Аварийные / справочные / экстренные службы";"Управление ГО и ЧС"
"14";"Уссурийск-Электросеть, МУП, аварийная служба";"Уссурийск";"Советская, 15";;"+74234322227";NULL;NULL;"131.949005";"43.788933";"Аварийные / справочные / экстренные службы";"Аварийные службы"
"15";"Аварийная служба, филиал в г. Уссурийске";"Уссурийск";"Фрунзе, 8";;"+74234321481";NULL;NULL;"131.938496";"43.793777";"Аварийные / справочные / экстренные службы";"Аварийные службы"
"16";"Уссурийскмежрайгаз, ОАО, аварийная служба газа";"Уссурийск";"Фадеева, 1в";;"104";NULL;NULL;"131.934495";"43.834494";"Аварийные / справочные / экстренные службы";"Аварийные службы"
"17";"Аварийная служба";"Уссурийск";"Калинина, 41";"2 этаж";"+74234324040";NULL;NULL;"131.957387";"43.788349";"Аварийные / справочные / экстренные службы";"Аварийные службы"
"18";"Аварийная служба";"Уссурийск";"Приморская, 19";;"+79243368193";NULL;NULL;"131.977751";"43.798603";"Аварийные / справочные / экстренные службы";"Аварийные службы"
"19";"Телефон доверия, УВД г. Уссурийска";"Уссурийск";"Калинина, 17";;"+74234323612";NULL;NULL;"131.955894";"43.785907";"Аварийные / справочные / экстренные службы";"Телефоны доверия"
"20";"Максимум Инфо, региональная информационно-справочная служба";"Уссурийск";"Советская, 84";"436 офис; 4 этаж";"+74234211444";NULL;"http://www.maksimum.info";"131.947557";"43.80043";"Аварийные / справочные / экстренные службы";"Справочно-информационные услуги"
"21";"БЛИЦ-ИНФОРМ, городская справочная служба";"Уссурийск";"Тимирязева, 29 ст2";;"+74234337272";NULL;"http://www.372.ru";"131.948462";"43.790214";"Аварийные / справочные / экстренные службы";"Справочно-информационные услуги"
"22";"Справочная по аренде жилья";"Уссурийск";"Некрасова, 91";"1 этаж";"+79247224451";NULL;NULL;"131.950488";"43.800432";"Аварийные / справочные / экстренные службы";"Справочно-информационные услуги"
"23";"Недвижимость, ООО, справочная служба по аренде недвижимости";"Уссурийск";"Горького, 43";"7 офис; 2 этаж";"+79146902210";NULL;NULL;"131.943191";"43.796602";"Аварийные / справочные / экстренные службы";"Справочно-информационные услуги"
"24";"Пожарная охрана";"Уссурийск";"Ленина, 143";;"101";NULL;NULL;"131.953071";"43.80554";"Аварийные / справочные / экстренные службы";"Пожарная охрана"
"25";"7 отряд ФПС, Пожарная часть №33";"Уссурийск";"Раковская, 2а";;"+74234253495";NULL;NULL;"131.984792";"43.792728";"Аварийные / справочные / экстренные службы";"Пожарная охрана"
"26";"Пожарная часть";"Уссурийск";"Луговой переулок, 17";"1 этаж";NULL;NULL;NULL;"131.981728";"43.75866";"Аварийные / справочные / экстренные службы";"Пожарная охрана"
"27";"Станция скорой медицинской помощи г. Уссурийска";"Уссурийск";"Комсомольская, 32";;"103";NULL;NULL;"131.944973";"43.803148";"Аварийные / справочные / экстренные службы";"Скорая медицинская помощь"
"28";"Штраф-стоянка, ИП Кривенко А.А.";"Уссурийск";"Щорса, 3 ст2";;"+79089800874";NULL;NULL;"131.950689";"43.782974";"Аварийные / справочные / экстренные службы";"Штрафстоянки"
"29";"Эконика, оптово-розничная компания";"Уссурийск";"Володарского, 9";;"+74234320676";NULL;"http://www.ekonika-moto.ru";"131.939386";"43.791309";"Автосервис / Автотовары";"Запчасти для мототехники"
"30";"Regul мото, торговая компания";"Уссурийск";"Новоникольское шоссе, 9";;"+79147037078";NULL;"http://www.regulmoto.ru";"131.906771";"43.824282";"Автосервис / Автотовары";"Запчасти для мототехники"
"31";"Elis Motors, аукционная компания";"Уссурийск";"Плеханова, 36";"2 этаж";"+79247374004";NULL;"http://elismotors.ru";"131.945476";"43.796966";"Автосервис / Автотовары";"Запчасти для мототехники"
"32";"Ussurimoto, магазин";"Уссурийск";"6 км переулок, 2а";"4 бокс; 2 этаж";"+79146616969";NULL;"http://ussurimoto.ru";"131.94573";"43.837706";"Автосервис / Автотовары";"Запчасти для мототехники"
"33";"Торгово-установочный центр, ИП Бутковский С.Н.";"Уссурийск";"Некрасова, 76 ст2";;"+79147118343";NULL;NULL;"131.952069";"43.79897";"Автосервис / Автотовары";"Запчасти для мототехники"
"34";"ПРО-ТЕК, шинный центр";"Уссурийск";"Краснознамённая, 198г";;"+74234358888";NULL;"http://www.shina25.ru";"131.95206";"43.813838";"Автосервис / Автотовары";"Хранение шин"
"35";"Авто-ДИАС, автотехцентр";"Уссурийск";"Шевченко, 16а";;"+74234343818";NULL;"http://www.avto-dias.ru";"131.995167";"43.767647";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"36";"Про Гараж, автоцентр";"Уссурийск";"Урицкого, 7";;"+74234211316";NULL;NULL;"131.981129";"43.817767";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"37";"777, автоцентр";"Уссурийск";"Плеханова, 36Б";"1 этаж";"+79242599669";NULL;NULL;"131.945853";"43.797014";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"38";"TruckTown, автотехцентр";"Уссурийск";"Новоникольское шоссе, 8г";;"+74234345562";NULL;NULL;"131.897146";"43.8267";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"39";"ДРК, автокомплекс";"Уссурийск";"Краснознамённая, 2";;"+74234322968";NULL;NULL;"131.95781";"43.78242";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"40";"Ресурс, автосервис";"Уссурийск";"Пионерская, 92";"1 этаж";"+74234370590";NULL;NULL;"131.952361";"43.811484";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"41";"999, автосервис";"Уссурийск";"Комсомольская, 97";;"+79140715000";NULL;NULL;"131.960027";"43.805415";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"42";"Auto Security, автоцентр";"Уссурийск";"Орджоникидзе, 37";;"+79025261024";NULL;NULL;"131.941325";"43.813972";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"43";"Мега Авто, автомастерская";"Уссурийск";"Калинина, 48а";;"+79242602216";NULL;NULL;"131.958655";"43.789241";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"44";"СТО, ИП Барбаянов И.Н.";"Уссурийск";"Раковская, 2е";;"+79146842826";NULL;NULL;"131.987654";"43.793302";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"45";"Пит-стоп, СТО";"Уссурийск";"Вейса, 18 ст3";;"+79084451152";NULL;NULL;"131.962329";"43.788735";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"46";"Alarm-service, центр автомобильной безопасности";"Уссурийск";"Суханова, 70";"1 этаж";"+74234305164";NULL;NULL;"131.955805";"43.793785";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"47";"Трак Центр, ООО";"Уссурийск";"Афанасьева, 16а ст2";;"+79242368801";NULL;NULL;"131.948304";"43.786114";"Автосервис / Автотовары";"Ремонт автоэлектрики"
